1,1st International Conference on Building Energy and Environment,COBEE,ERA2010,,No,1202,,
2,1st International Conference on Engineering Management,ICEM,ERA2010,,No,09,,
3,2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,ERA2010,B,No,0903,,
4,3-D Digital Imaging and Modelling,3DIM,ERA2010,C,No,0801,,
5,A Satellite workshop on Formal Approaches to Testing of Software,FATES,ERA2010,C,No,0802,,
6,AAEE - Annual Conference of Australasian Association for Engineering Education,,ERA2010,B,No,09,,
7,Accelerating excellence in the built environment World Conference,WCAEBE,ERA2010,C,No,1202,,
8,Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,ERA2010,C,Yes,0806,,
9,"ACIS Conference on Software Engineering Research, Management and Applications",SERA,ERA2010,C,No,0803,,
10,ACM Annual Computer Science Conference,CSC,ERA2010,C,No,08,,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,ERA2010,A,Yes,0803,,
12,ACM Conference on Computer and Communications Security,CCS,ERA2010,A,Yes,0803,,
13,ACM Conference on Computer Supported Cooperative Work,CSCW,ERA2010,A,No,0806,,
14,ACM Conference on Economics and Computation,EC,ERA2010,B,Yes,0806,,
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,ERA2010,A,Yes,1006,,
16,International Conference on Embedded Software,EMSOFT,ERA2010,A,Yes,1005,,
17,ACM Conference on Hypertext and Social Media,Hypertext,ERA2010,A,Yes,0805,,
18,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,ERA2010,A,Yes,0803,,
19,ACM Creativity and Cognition,CC,ERA2010,A,No,1203,,
20,ACM Digital Rights Management Workshop,DRM,ERA2010,C,No,0803,,
21,ACM Information Technology Education,SIGITE,ERA2010,C,No,08,,
22,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,ERA2010,B,Yes,0806,,
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,ERA2010,B,No,0806,1203,
24,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,ERA2010,A,No,0805,,
25,ACM International Conference on Information and Knowledge Management,CIKM,ERA2010,A,Yes,0806,,
26,ACM International Conference on Knowledge Discovery and Data Mining,KDD,ERA2010,A,Yes,0804,,
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,ERA2010,A,Yes,1006,,
