Title,Acronym,DblpSeries,has CORE2023 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
International Conference on Advanced Communications and Computation,INFOCOMP,N/A,Unranked,"Information and Computing Sciences, , ",Information and Computing Sciences,,
"International Conference on Ambient Systems, Networks and Technologies",ANT,ant,Unranked,"Distributed computing and systems software, , ",Distributed computing and systems software,,
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,hcomp,B,"Human-centred computing, Data management and data science, ",Human-centred computing,Data management and data science,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,sera,C,"Software engineering, , ",Software engineering,,
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,sigcomm,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,
ACM Conference on Computer and Communications Security,CCS,ccs,A*,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
ACM Conference on Computer Supported Cooperative Work,CSCW,cscw,A,"Human-centred computing, , ",Human-centred computing,,
ACM Conference on Economics and Computation,EC,sigecom,A*,"Artificial intelligence, Theory of computation, ",Artificial intelligence,Theory of computation,
ACM Conference on Embedded Networked Sensor Systems,SENSYS,sensys,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,oopsla,A,"Software engineering, , ",Software engineering,,
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,wisec,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
ACM Information Technology Education,SIGITE,sigite,National: USA,"Human-centred computing, , ",Human-centred computing,,
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,fpga,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,N/A,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,gis,A,"Applied computing, Machine learning, Data management and data science",Applied computing,Machine learning,Data management and data science
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,conext,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,
ACM International Conference on Information and Knowledge Management,CIKM,cikm,A,"Data management and data science, Artificial intelligence, ",Data management and data science,Artificial intelligence,
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,tabletop,Journal Published,"Human-centred computing, , ",Human-centred computing,,
ACM International Conference on Knowledge Discovery and Data Mining,KDD,kdd,A*,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
ACM International Conference on Mobile Computing and Networking,MOBICOM,mobicom,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,
ACM International Conference on Recommender Systems,RecSys,recsys,A,"Data management and data science, , ",Data management and data science,,
ACM International Conference on Research and Development in Information Retrieval,SIGIR,sigir,A*,"Data management and data science, , ",Data management and data science,,
ACM International Conference on Supercomputing,ICS,ics,A,"CSE - Computer Systems Engineering, Distributed computing and systems software, ",CSE - Computer Systems Engineering,Distributed computing and systems software,
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,sigsoft,A*,"Software engineering, , ",Software engineering,,
ACM International Conference on Web Search and Data Mining,WSDM,wsdm,A,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
