1969,Asia Pacific Association for Medical Informatics Conference,APAMI,CORE2008,B,Yes,,,
1974,Chicago ASA Data Mining Conference- A Hard Look at DM,ASADM,CORE2008,B,Yes,,,
1976,Annual conference of American Society for Information Science and Technology,ASIS&T,CORE2008,A,Yes,,,
1984,Argentine Workshop on Theoretical Informatics,AWTI,CORE2008,B,Yes,,,
1994,IEEE Computer Security Foundations Workshop,CSFW,CORE2008,A,No,,,
2050,International Conference on Multi Agent Systems,ICMAS,CORE2008,A,No,,,
2082,Israel Symposium on Theory of Computing and Systems,ISTCS,CORE2008,A,Yes,,,
2119,IEEE Pacific-Rim Conference on Multimedia,PMIP,CORE2008,C,Yes,,,
2143,Text Retrieval Conference,TREC,CORE2008,A,No,,,
2106,"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications",NPDP,CORE2014,C,Yes,,,
2089,IASTED International conference Law and Technology,LawTech,CORE2014,C,Yes,,,
1957,IASTED International Conference on Applied Informatics,AI,CORE2014,C,Yes,,,
1977,IASTED International Conference on Applied Simulation and Modelling,ASM,CORE2014,C,Yes,,,
1975,IASTED International Conference on Artificial Intelligence and Soft Computing,ASC,CORE2014,C,Yes,,,
1986,IASTED International Conference on Computers and Advanced Technology in Education ,CATE,CORE2014,C,Yes,,,
2080,IASTED International Conference on Intelligent Systems and Control,ISC,CORE2014,C,Yes,,,
2070,"IASTED International Conference on Internet, Multimedia Systems and Applications",IMSA,CORE2014,C,Yes,,,
2101,IASTED International Conference on Modelling and Simulation,MS,CORE2014,C,Yes,,,
2096,"IASTED International Conference on Modelling, Identification, and Control",MIC,CORE2014,C,Yes,,,
2113,IASTED International Conference on Parallel and Distributed Computing and Networks ,PDCN,CORE2014,C,Yes,,,
2114,IASTED International Conference on Parallel and Distributed Computing and Systems ,PDCS,CORE2014,C,Yes,,,
2122,IASTED International Conference on Robotics and Manufacturing,RM,CORE2014,C,Yes,,,
2133,IASTED International Conference on Signal and Image Processing ,SIP,CORE2014,C,Yes,,,
2125,IASTED International Conference on Software Engineering ,SE,CORE2014,C,Yes,,,
