Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
1st International Conference on Building Energy and Environment,COBEE,,,"Building†, , ",Building†,,,,,,,,,,,
1st International Conference on Engineering Management,ICEM,,,"Engineering†, , ",Engineering†,,,,,,,,,,,
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,,,"Biomedical Engineering †, , ",Biomedical Engineering †,,,,,,,,,,B,
3-D Digital Imaging and Modelling,3DIM,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
A Satellite workshop on Formal Approaches to Testing of Software,FATES,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,C
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,hcomp,B,"Human-centred computing, Data management and data science, ",Human-centred computing,Data management and data science,,B,B,,,,,,,
"AAAI/ACM Conference on AI, Ethics, and Society",AIES,aies,C,"Human-centred computing, Artificial intelligence, Machine learning",Human-centred computing,Artificial intelligence,Machine learning,,,,,,,,,
AAEE - Annual Conference of Australasian Association for Engineering Education,,,,"Engineering†, , ",Engineering†,,,,,,,,,,B,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,sera,C,"Software engineering, , ",Software engineering,,,C,C,C,C,C,C,C,C,
ACM Annual Computer Science Conference,CSC,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,sigcomm,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Conference on Computer Supported Cooperative Work,CSCW,cscw,A,"Human-centred computing, , ",Human-centred computing,,,A,A,A,A,A,A,A,A,A
ACM Conference on Computer and Communications Security,CCS,ccs,A*,"Cybersecurity and privacy, , ",Cybersecurity and privacy,Distributed Computing†,Communications Technologies†,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Conference on Digital Libraries,JCDL,jcdl,,"Information Systems†, , ",Information Systems†,,,,,,A*,A*,A*,A*,,A*
ACM Conference on Economics and Computation,EC,sigecom,A*,"Artificial intelligence, Theory of computation, ",Artificial intelligence,Theory of computation,Computation Theory and Mathematics†,A*,A*,A*,A*,B,B,B,B,A
ACM Conference on Embedded Networked Sensor Systems,SENSYS,sensys,unranked: merged,"Distributed computing and systems software, , ",Distributed computing and systems software,Computer Hardware†,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Conference on Hypertext and Social Media,Hypertext,ht,,"Distributed Computing†, Information Systems†, ",Distributed Computing†,Information Systems†,,,,,A,A,A,A,A,A
ACM Conference on Learning @ Scale,L@S,lats,B,"Applied computing, Machine learning, CSE - Computer Systems Engineering",Applied computing,Machine learning,CSE - Computer Systems Engineering,,,,,,,,,
